=== task-48 seo-audit — RUN 1 (BEFORE fixes) : live production https://francepassoire.pages.dev — 2026-08-20T22:41:15Z
# Audit SEO — 164 pages du sitemap
Cible de fetch : https://francepassoire.pages.dev (canonical comparé à https://francepassoire.com)

| Page | HTTP | Title | Desc | Canonical | OG | H1 |
|---|---|---|---|---|---|---|
| `/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/2021/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/2022/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/2024/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/2025/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/2026/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/chiffres/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/confidentialite/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/donnees/coordonnees/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/donnees/credentials/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/donnees/documents/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/donnees/financier/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/donnees/identite/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/donnees/sante/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/embed/compteur/` | ✓ | ✓ | ✗ | ✗ | ✗ | ✗ |
| `/entite/accor/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/agence-nationale-des-titres-securises-ants/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/agence-pour-lenseignement-francais-a-letranger-aefe/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/air-france-klm/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/alain-afflelou-groupe/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/alaxione/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/almerys/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/assistance-publique-hopitaux-de-paris-ap-hp/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/assurance-retraite-cnav/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/auchan/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/autosur/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/bloctel/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/boulanger/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/bouygues-telecom/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/bureau-vallee/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
| `/entite/caisse-des-depots-et-consignations-cdc/` | ✓ | ✓ | ✓ | ✓ | ✓ | ✓ |
